[epoch 1] train_loss: 3.724  val_accuracy: 0.208
[epoch 2] train_loss: 3.090  val_accuracy: 0.266
[epoch 3] train_loss: 2.779  val_accuracy: 0.293
[epoch 4] train_loss: 2.527  val_accuracy: 0.316
[epoch 5] train_loss: 2.281  val_accuracy: 0.328
[epoch 6] train_loss: 2.057  val_accuracy: 0.350
[epoch 7] train_loss: 1.832  val_accuracy: 0.355
[epoch 8] train_loss: 1.614  val_accuracy: 0.357
[epoch 9] train_loss: 1.413  val_accuracy: 0.360
[epoch 10] train_loss: 1.221  val_accuracy: 0.358
[epoch 11] train_loss: 1.037  val_accuracy: 0.359
[epoch 12] train_loss: 0.895  val_accuracy: 0.352
[epoch 13] train_loss: 0.761  val_accuracy: 0.358
[epoch 14] train_loss: 0.653  val_accuracy: 0.364
[epoch 15] train_loss: 0.574  val_accuracy: 0.349
[epoch 16] train_loss: 0.512  val_accuracy: 0.356
[epoch 17] train_loss: 0.441  val_accuracy: 0.360
[epoch 18] train_loss: 0.407  val_accuracy: 0.361
[epoch 19] train_loss: 0.374  val_accuracy: 0.371
[epoch 20] train_loss: 0.344  val_accuracy: 0.369
[epoch 21] train_loss: 0.321  val_accuracy: 0.363
[epoch 22] train_loss: 0.303  val_accuracy: 0.357
[epoch 23] train_loss: 0.285  val_accuracy: 0.365
[epoch 24] train_loss: 0.268  val_accuracy: 0.357
[epoch 25] train_loss: 0.255  val_accuracy: 0.364
[epoch 26] train_loss: 0.244  val_accuracy: 0.368
[epoch 27] train_loss: 0.246  val_accuracy: 0.370
[epoch 28] train_loss: 0.225  val_accuracy: 0.367
[epoch 29] train_loss: 0.215  val_accuracy: 0.369
[epoch 30] train_loss: 0.212  val_accuracy: 0.370
[epoch 31] train_loss: 0.202  val_accuracy: 0.368
[epoch 32] train_loss: 0.195  val_accuracy: 0.369
[epoch 33] train_loss: 0.196  val_accuracy: 0.375
[epoch 34] train_loss: 0.183  val_accuracy: 0.366
[epoch 35] train_loss: 0.182  val_accuracy: 0.370
[epoch 36] train_loss: 0.182  val_accuracy: 0.374
[epoch 37] train_loss: 0.168  val_accuracy: 0.374
[epoch 38] train_loss: 0.171  val_accuracy: 0.373
[epoch 39] train_loss: 0.168  val_accuracy: 0.373
[epoch 40] train_loss: 0.160  val_accuracy: 0.374
[epoch 41] train_loss: 0.160  val_accuracy: 0.374
[epoch 42] train_loss: 0.147  val_accuracy: 0.373
[epoch 43] train_loss: 0.155  val_accuracy: 0.381
[epoch 44] train_loss: 0.146  val_accuracy: 0.374
[epoch 45] train_loss: 0.146  val_accuracy: 0.374
[epoch 46] train_loss: 0.150  val_accuracy: 0.372
[epoch 47] train_loss: 0.140  val_accuracy: 0.378
[epoch 48] train_loss: 0.138  val_accuracy: 0.381
[epoch 49] train_loss: 0.136  val_accuracy: 0.373
[epoch 50] train_loss: 0.140  val_accuracy: 0.379
[epoch 51] train_loss: 0.133  val_accuracy: 0.385
[epoch 52] train_loss: 0.126  val_accuracy: 0.376
[epoch 53] train_loss: 0.123  val_accuracy: 0.377
[epoch 54] train_loss: 0.122  val_accuracy: 0.381
[epoch 55] train_loss: 0.127  val_accuracy: 0.378
[epoch 56] train_loss: 0.118  val_accuracy: 0.370
[epoch 57] train_loss: 0.123  val_accuracy: 0.375
[epoch 58] train_loss: 0.118  val_accuracy: 0.377
[epoch 59] train_loss: 0.116  val_accuracy: 0.377
[epoch 60] train_loss: 0.116  val_accuracy: 0.381
[epoch 61] train_loss: 0.112  val_accuracy: 0.375
[epoch 62] train_loss: 0.120  val_accuracy: 0.381
[epoch 63] train_loss: 0.110  val_accuracy: 0.377
[epoch 64] train_loss: 0.109  val_accuracy: 0.375
[epoch 65] train_loss: 0.104  val_accuracy: 0.382
[epoch 66] train_loss: 0.114  val_accuracy: 0.379
[epoch 67] train_loss: 0.098  val_accuracy: 0.379
[epoch 68] train_loss: 0.111  val_accuracy: 0.381
[epoch 69] train_loss: 0.106  val_accuracy: 0.382
[epoch 70] train_loss: 0.109  val_accuracy: 0.383
[epoch 71] train_loss: 0.098  val_accuracy: 0.381
[epoch 72] train_loss: 0.103  val_accuracy: 0.381
[epoch 73] train_loss: 0.100  val_accuracy: 0.374
[epoch 74] train_loss: 0.098  val_accuracy: 0.386
[epoch 75] train_loss: 0.099  val_accuracy: 0.381
[epoch 76] train_loss: 0.099  val_accuracy: 0.385
[epoch 77] train_loss: 0.100  val_accuracy: 0.389
[epoch 78] train_loss: 0.092  val_accuracy: 0.384
[epoch 79] train_loss: 0.093  val_accuracy: 0.384
[epoch 80] train_loss: 0.085  val_accuracy: 0.386
[epoch 81] train_loss: 0.097  val_accuracy: 0.393
[epoch 82] train_loss: 0.087  val_accuracy: 0.383
[epoch 83] train_loss: 0.095  val_accuracy: 0.380
[epoch 84] train_loss: 0.086  val_accuracy: 0.380
[epoch 85] train_loss: 0.089  val_accuracy: 0.381
[epoch 86] train_loss: 0.088  val_accuracy: 0.378
[epoch 87] train_loss: 0.091  val_accuracy: 0.386
[epoch 88] train_loss: 0.084  val_accuracy: 0.388
[epoch 89] train_loss: 0.088  val_accuracy: 0.382
[epoch 90] train_loss: 0.086  val_accuracy: 0.387
[epoch 91] train_loss: 0.087  val_accuracy: 0.384
[epoch 92] train_loss: 0.087  val_accuracy: 0.391
[epoch 93] train_loss: 0.081  val_accuracy: 0.387
[epoch 94] train_loss: 0.080  val_accuracy: 0.386
[epoch 95] train_loss: 0.086  val_accuracy: 0.388
[epoch 96] train_loss: 0.083  val_accuracy: 0.389
[epoch 97] train_loss: 0.078  val_accuracy: 0.389
[epoch 98] train_loss: 0.081  val_accuracy: 0.390
[epoch 99] train_loss: 0.077  val_accuracy: 0.389
[epoch 100] train_loss: 0.079  val_accuracy: 0.388
[epoch 101] train_loss: 0.079  val_accuracy: 0.390
[epoch 102] train_loss: 0.079  val_accuracy: 0.387
[epoch 103] train_loss: 0.072  val_accuracy: 0.387
[epoch 104] train_loss: 0.079  val_accuracy: 0.384
[epoch 105] train_loss: 0.076  val_accuracy: 0.391
[epoch 106] train_loss: 0.076  val_accuracy: 0.387
[epoch 107] train_loss: 0.075  val_accuracy: 0.389
[epoch 108] train_loss: 0.077  val_accuracy: 0.381
[epoch 109] train_loss: 0.069  val_accuracy: 0.392
[epoch 110] train_loss: 0.081  val_accuracy: 0.388
[epoch 111] train_loss: 0.071  val_accuracy: 0.388
[epoch 112] train_loss: 0.076  val_accuracy: 0.391
[epoch 113] train_loss: 0.073  val_accuracy: 0.394
[epoch 114] train_loss: 0.072  val_accuracy: 0.386
[epoch 115] train_loss: 0.075  val_accuracy: 0.389
[epoch 116] train_loss: 0.069  val_accuracy: 0.389
[epoch 117] train_loss: 0.074  val_accuracy: 0.382
[epoch 118] train_loss: 0.071  val_accuracy: 0.391
[epoch 119] train_loss: 0.073  val_accuracy: 0.388
[epoch 120] train_loss: 0.070  val_accuracy: 0.391
[epoch 121] train_loss: 0.065  val_accuracy: 0.401
[epoch 122] train_loss: 0.072  val_accuracy: 0.387
[epoch 123] train_loss: 0.064  val_accuracy: 0.385
[epoch 124] train_loss: 0.073  val_accuracy: 0.396
[epoch 125] train_loss: 0.063  val_accuracy: 0.393
[epoch 126] train_loss: 0.069  val_accuracy: 0.386
[epoch 127] train_loss: 0.067  val_accuracy: 0.389
[epoch 128] train_loss: 0.062  val_accuracy: 0.395
[epoch 129] train_loss: 0.067  val_accuracy: 0.385
[epoch 130] train_loss: 0.064  val_accuracy: 0.386
[epoch 131] train_loss: 0.069  val_accuracy: 0.397
[epoch 132] train_loss: 0.061  val_accuracy: 0.390
[epoch 133] train_loss: 0.066  val_accuracy: 0.387
[epoch 134] train_loss: 0.065  val_accuracy: 0.389
[epoch 135] train_loss: 0.065  val_accuracy: 0.383
[epoch 136] train_loss: 0.064  val_accuracy: 0.391
[epoch 137] train_loss: 0.064  val_accuracy: 0.384
[epoch 138] train_loss: 0.064  val_accuracy: 0.387
[epoch 139] train_loss: 0.064  val_accuracy: 0.387
[epoch 140] train_loss: 0.062  val_accuracy: 0.388
[epoch 141] train_loss: 0.062  val_accuracy: 0.386
[epoch 142] train_loss: 0.065  val_accuracy: 0.391
[epoch 143] train_loss: 0.063  val_accuracy: 0.390
[epoch 144] train_loss: 0.056  val_accuracy: 0.391
[epoch 145] train_loss: 0.061  val_accuracy: 0.394
